title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"Dihydromyricetin",399,Done,0.266,-5.43707,"glide-grid_Sa3ANT_avrg",-5.45687,-0.485246,-0.23836,-0,-1.22556,-27.9962,-15.0161,0.18204,-0.0375077,-57.4107,-43.0123,7.06901
"Dihydromyricetin",400,Done,0.25,-5.43707,"glide-grid_Sa3ANT_avrg",-5.45687,-0.485246,-0.23836,-0,-1.22556,-27.9962,-15.0161,0.18204,-0.0375077,-57.4107,-43.0123,7.06901
"Dihydromyricetin",401,Done,0.234,-5.43707,"glide-grid_Sa3ANT_avrg",-5.45687,-0.485246,-0.23836,-0,-1.22556,-27.9962,-15.0161,0.18204,-0.0375077,-57.4107,-43.0123,7.06901
"Dihydromyricetin",402,Done,0.297,-5.43707,"glide-grid_Sa3ANT_avrg",-5.45687,-0.485246,-0.23836,-0,-1.22556,-27.9962,-15.0161,0.18204,-0.0375077,-57.4107,-43.0123,7.06901
"Malvidin (chloride)",403,Done,0.25,-4.99519,"glide-grid_Sa3ANT_avrg",-5.09449,-0.321152,-0.121634,-0,-1.15025,-27.196,-15.4208,0.171464,0,-57.3466,-42.6168,8.7879
"Malvidin (chloride)",404,Done,0.25,-4.99519,"glide-grid_Sa3ANT_avrg",-5.09449,-0.321152,-0.121634,-0,-1.15025,-27.196,-15.4208,0.171464,0,-57.3466,-42.6168,8.7879
"Malvidin (chloride)",405,Done,0.25,-4.99519,"glide-grid_Sa3ANT_avrg",-5.09449,-0.321152,-0.121634,-0,-1.15025,-27.196,-15.4208,0.171464,0,-57.3466,-42.6168,8.7879
"Daidzin",406,Done,0.219,-4.36085,"glide-grid_Sa3ANT_avrg",-4.36085,-0.195168,-0.374203,-0,-0.570149,-23.3356,-15.4127,0.319057,-0.0617045,-49.0349,-38.7483,7.39633
"(-)-Epicatechin gallate",407,Done,0.328,-3.42751,"glide-grid_Sa3ANT_avrg",-3.50001,0,-0.0423326,-0,-0.392916,-19.6271,-16.2245,0.408452,-0.0581926,-39.8761,-35.8515,8.18199
"(-)-Epicatechin gallate",408,Done,0.281,-3.42751,"glide-grid_Sa3ANT_avrg",-3.50001,0,-0.0423326,-0,-0.392916,-19.6271,-16.2245,0.408452,-0.0581926,-39.8761,-35.8515,8.18199
"(-)-Epicatechin gallate",409,Done,0.282,-3.42751,"glide-grid_Sa3ANT_avrg",-3.50001,0,-0.0423326,-0,-0.392916,-19.6271,-16.2245,0.408452,-0.0581926,-39.8761,-35.8515,8.18199
